key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_4.keys,key_resp_4.rt,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,next_letter.ran,letter,participant,Wiek*,Płeć,date,expName,psychopyVersion,OS,frameRate,study_id,session,simple_recall,key_resp_5.keys,key_resp_5.rt,simple_recall_corr,simple_recall_corrkeys,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_level.ran,key_resp_2.keys,key_resp_2.rt,digit_answer,key_resp.keys,key_resp.corr,key_resp.rt,RT_list,next_equation.thisRepN,next_equation.thisTrialN,next_equation.thisN,next_equation.thisIndex,next_equation.ran,Task,Trial,Problem,Operation_answer,processing_score,sumRT,meanRT,sumdiff,sd,RT,key_resp_3.keys,key_resp_3.rt,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,repeat_practice.ran,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.corr,operation_correct,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,repeat_if_wrong_prac.ran,key_resp_11.rt,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,span_size_prac.ran,complex_recall_practice,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,complex_prac_corr,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_recall_prac.ran,key_resp_10.keys,key_resp_10.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,repeat_if_wrong.ran,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,span_size.ran,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,complex_recall_corr,complex_recall_corrkeys,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_recall.ran,key_resp_13.keys,key_resp_13.corr,random_loop.thisRepN,random_loop.thisTrialN,random_loop.thisN,random_loop.thisIndex,random_loop.ran,key_resp_13.rt,key_resp_12.keys,key_resp_12.rt
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,xmkpwk,"[""x"",""m"",""k"",""p"",""w"",""k""]","[0.8517999999523198,1.4043999999761638,1.772299999952324,2.156000000000006,2.6202000000476886,3.254000000000005,3.4825000000000017]",1,XMKPWK,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,jftwcc,"[""j"",""f"",""t"",""w"",""c"",""c""]","[1.3819999999999908,1.8984999999999985,2.231499999999997,2.9581999999284676,3.302699999928464,3.472799999952315,3.6541999999284656]",1,JFTWCC,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,bqcxphj,"[""b"",""q"",""c"",""x"",""p"",""h"",""j""]","[1.6129999999999995,2.853200000047707,3.4207000000477024,4.320000000000022,5.276899999976166,6.383700000047696,8.032299999952329,8.210899999976164]",0,BQCXGHJ,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,pmvtmh,"[""p"",""m"",""v"",""t"",""m"",""h""]","[1.541100000023846,1.9827999999523058,2.6314999999999884,2.9423999999761463,3.2887999999523174,4.138100000023826,4.652299999952305]",0,PMVTMHP,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,0,5,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,0,6,0,1,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,jgmfplh,"[""j"",""g"",""m"",""f"",""p"",""l"",""h""]","[0.9988999999761461,1.65329999995231,1.9841000000238296,2.9638999999761495,3.4523999999761656,3.894100000023826,5.408500000000004,6.27620000004768]",0,JGMFPLG,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,space,7.1277,3,"[""3""]",1,[3.2086000000238357],[3.2086000000238357],0,0,0,3,1,Practice,4,(8/4) + 1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,9,"[""9""]",1,[3.601300000071518],"[3.2086000000238357,3.601300000071518]",0,1,1,9,1,Practice,10,(20/2) - 1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,6,"[""6""]",1,[2.4935000000000116],"[3.2086000000238357,3.601300000071518,2.4935000000000116]",0,2,2,6,1,Practice,7,(25/5) + 1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,1,"[""1""]",1,[2.1716000000238296],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296]",0,3,3,1,1,Practice,2,(4x4) - 15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,6,"[""6""]",0,[4.385699999928477],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477]",0,4,4,4,1,Practice,5,(2x6) - 8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,8,"[""8""]",1,[3.312999999999988],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477,3.312999999999988]",0,5,5,8,1,Practice,9,(3x3) - 1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,0,"[""0""]",1,[2.370799999952311],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477,3.312999999999988,2.370799999952311]",0,6,6,0,1,Practice,1,(3x3) -  9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,2,"[""2""]",1,[2.631600000023866],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477,3.312999999999988,2.370799999952311,2.631600000023866]",0,7,7,2,1,Practice,3,(4x4) - 14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,5,"[""5""]",1,[6.050899999976139],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477,3.312999999999988,2.370799999952311,2.631600000023866,6.050899999976139]",0,8,8,5,1,Practice,6,(4/2) + 3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,7,"[""7""]",1,[3.706599999904654],"[3.2086000000238357,3.601300000071518,2.4935000000000116,2.1716000000238296,4.385699999928477,3.312999999999988,2.370799999952311,2.631600000023866,6.050899999976139,3.706599999904654]",0,9,9,7,1,Practice,8,(5x5) - 18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,33.9336,2.26224,24.95188717,1.289751582,5.589799083,space,1.1351,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,Practice,5,(2x6) - 8,4,,,,,,,,,,,,,,space,10.8504,,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,7,,,,,,,,,,Practice,8,(5x5) - 18,7,,,,,,,,,,,,,,,,"[""7""]",1,1,0,1,1,7,1,[2.2722000000476896],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,1,,,,,,,,,,Practice,2,(4x4) - 15,1,,,,,,,,,,,,,,,,"[""1""]",1,1,0,0,0,1,1,[2.2606999999284767],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X V Q F H G B L J M P D K C T S W R N Z,607f367c60fe33f8f18816d1,25,Kobieta,2022-06-11_09h12.54.267,task,2021.1.4,Win32,60.10699044,6299f149e92ead563fba08ef,62a43f005d2a26aeb3938bdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
